flow_id,source,destination,direction,protocol,port,exposure,tls_required_when_public,manifests,justification
"flow-litellm-mock-upstream","litellm_gateway","mock_upstream","egress","tcp","8080","internal_only","false","demo/docker-compose.offline.yml:services.litellm.depends_on","Offline mode - LLM requests routed to mock upstream instead of external providers "
"flow-litellm-postgres-egress","litellm_gateway","postgres","egress","tcp","5432","internal_only","false","demo/docker-compose.yml:services.litellm.depends_on,demo/docker-compose.offline.yml:services.litellm.depends_on","Database connectivity for LiteLLM schema and token storage "
"flow-litellm-presidio-analyzer","litellm_gateway","presidio_analyzer","egress","tcp","3000","internal_only","false","demo/docker-compose.yml:services.litellm.depends_on,demo/docker-compose.offline.yml:services.litellm.depends_on","PII detection for request/response content filtering "
"flow-litellm-presidio-anonymizer","litellm_gateway","presidio_anonymizer","egress","tcp","3000","internal_only","false","demo/docker-compose.yml:services.litellm.depends_on,demo/docker-compose.offline.yml:services.litellm.depends_on","PII anonymization/redaction for request/response content filtering "
"flow-mock-upstream-helm-clusterip","litellm_gateway","mock_upstream","ingress","tcp","8080","internal_only","false","deploy/helm/ai-control-plane/values.yaml:mockUpstream.service","Kubernetes ClusterIP service for mock upstream (internal cluster access only) "
"flow-mock-upstream-internal","litellm_gateway","mock_upstream","ingress","tcp","8080","internal_only","false","demo/docker-compose.offline.yml:services.mock-upstream.expose","Mock LLM service for offline demos - returns deterministic responses (internal only) "
"flow-otel-grpc","client_host","otel_collector","ingress","tcp","4317","optional_public","false","demo/docker-compose.yml:services.otel-collector.ports","OpenTelemetry gRPC endpoint for optional direct/bypass and correlation telemetry collection "
"flow-otel-health","client_host","otel_collector","ingress","tcp","13133","optional_public","false","demo/docker-compose.yml:services.otel-collector.ports","OTel collector health check endpoint for optional direct/bypass telemetry path "
"flow-otel-http","client_host","otel_collector","ingress","tcp","4318","optional_public","false","demo/docker-compose.yml:services.otel-collector.ports","OpenTelemetry HTTP endpoint for optional direct/bypass and correlation telemetry collection "
"flow-postgres-helm-clusterip","litellm_gateway","postgres","ingress","tcp","5432","internal_only","false","deploy/helm/ai-control-plane/values.yaml:postgres.service","Kubernetes ClusterIP service for PostgreSQL (internal cluster access only) "
"flow-postgres-internal-docker","litellm_gateway","postgres","ingress","tcp","5432","internal_only","false","demo/docker-compose.yml:services.postgres","Database for LiteLLM token storage and audit logs (internal Docker network only) "
"flow-postgres-offline-exposed","client_host","postgres","ingress","tcp","5432","localhost","true","demo/docker-compose.offline.yml:services.postgres.ports","PostgreSQL exposed on localhost for offline/demo debugging only "
"flow-presidio-analyzer-internal","litellm_gateway","presidio_analyzer","ingress","tcp","3000","internal_only","false","demo/docker-compose.yml:services.presidio-analyzer.expose,demo/docker-compose.offline.yml:services.presidio-analyzer.expose","PII analysis service - detects sensitive entities in text (internal Docker network only) "
"flow-presidio-anonymizer-internal","litellm_gateway","presidio_anonymizer","ingress","tcp","3000","internal_only","false","demo/docker-compose.yml:services.presidio-anonymizer.expose,demo/docker-compose.offline.yml:services.presidio-anonymizer.expose","PII anonymization service - masks/redacts sensitive entities (internal Docker network only) "
